t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,pd_gc,3.636759828731859e-12,22.74721268125129,0.0,1.5424078575759993e-12,7.712039287879996e-10,0.0,-0.6999999999999423,2.8796736914133858e-11,-6.188191757487909,1.722676169366781e-12,8.613380846833905e-10,-0.5866908431074782,-2.199999999999997,1.6050384504946408e-12,21.736176148071376,2.8059038767140384e-12,1.402951938357019e-09,0.6322073211695401,1.6000000000000392,1.9553276041616927e-11,2.4365367923063985,0.8000000000000379,1.893842997961711e-11,-0.003196257500585149
0.002,pd_gc,5.582241554178625e-12,22.7472126813643,1.7380493894620303e-08,2.5023636246796003e-12,4.799778835518005e-10,-1.0920247631638074e-08,-0.6999999999999184,1.2008174904681528e-11,-6.188191757894914,3.2156920453993692e-12,7.46507938016294e-10,-0.5866908535306414,-2.1999999999999846,6.176513063524447e-12,21.736176148053865,3.814184535577532e-12,5.041403294317467e-10,0.6322073125669898,1.600000000000052,6.4907436638927435e-12,2.4365367922061276,0.8000000000000363,-7.662304078052919e-13,-0.003196257587428484
0.004,pd_gc,6.457169656934403e-12,22.747212681373178,6.736631585945663e-09,2.964227586669451e-12,2.3093198099492532e-10,-6.919879459699576e-09,-0.6999999999999196,-6.134931315156139e-13,-6.188191757659888,4.167792922862717e-12,4.760504387316742e-10,-0.586690852212628,-2.1999999999999797,2.4154304114396738e-12,21.736176148005814,3.940484300325957e-12,6.314988237421228e-11,0.6322073178182711,1.6000000000000552,1.5504378918069259e-12,2.4365367922694983,0.8000000000000239,-6.191467592628127e-12,-0.0031962575197289917
0.006,pd_gc,6.3987096672252706e-12,22.74721268134837,5.366519388088947e-09,2.968566695820195e-12,2.1695545753720144e-12,-3.470185940862511e-09,-0.6999999999999375,-8.927643309445908e-12,-6.18819175748084,4.478880686719984e-12,1.5554388192863325e-10,-0.5866908489835624,-2.199999999999981,-6.661742712927108e-13,21.736176148041594,3.4733070775161717e-12,-2.3358861140489247e-10,0.6322073203556465,1.6000000000000503,-2.4730469102581253e-12,2.436536792292623,0.8000000000000086,-7.665245832421564e-12,-0.0031962575081917496
0.008,pd_gc,6.042035523523875e-12,22.747212681293693,5.3100467821322876e-09,2.807410138330504e-12,-8.057827874484536e-11,-2.6785909972082377e-10,-0.6999999999999562,-9.400855128715968e-12,-6.1881917573609675,4.426307131459962e-12,-2.628677763001122e-11,-0.586690845110092,-2.1999999999999855,-2.1589395118557517e-12,21.7361761480712,3.0047172969912196e-12,-2.3429489026247603e-10,0.6322073220651241,1.6000000000000447,-2.7646304993022683e-12,2.436536792311657,0.7999999999999993,-4.667101728075043e-12,-0.0031962575103927386
0.01,pd_gc,5.460138127962939e-12,22.74721268124552,2.5218494965077102e-09,2.5342450608975646e-12,-1.365825387164698e-10,9.035030913613947e-10,-0.6999999999999733,-8.542787795040398e-12,-6.188191757351222,4.129502953644359e-12,-1.484020889078014e-10,-0.5866908428775609,-2.1999999999999895,-1.9485251801688937e-12,21.73617614808529,2.5170623868395027e-12,-2.438274550758584e-10,0.6322073220122929,1.600000000000038,-3.2933456098076113e-12,2.4365367923122365,0.7999999999999932,-3.037310518226558e-12,-0.0031962575292514075
0.012,pd_gc,4.779633644737531e-12,22.747212681206666,1.7282264884028123e-09,2.2132769883380708e-12,-1.604840362797468e-10,1.709415937158772e-09,-0.6999999999999871,-6.876435058588246e-12,-6.18819175736068,3.699599945882759e-12,-2.1495150388080015e-10,-0.586690841348896,-2.1999999999999926,-1.4669649222346953e-12,21.73617614808255,2.063478046698868e-12,-2.2679217007031725e-10,0.6322073220267058,1.6000000000000316,-3.231785572532284e-12,2.4365367923142314,0.7999999999999898,-1.6797442925377962e-12,-0.0031962575413496063
0.014,pd_gc,4.088713888018558e-12,22.747212681181228,9.47824944391547e-10,1.8881687605683306e-12,-1.6255411388487e-10,2.0697143488494096e-09,-0.6999999999999972,-5.026507110847636e-12,-6.188191757382084,3.2191746467030654e-12,-2.4021264958984664e-10,-0.586690840482893,-2.1999999999999944,-9.7507682180193e-13,21.7361761480772,1.669873288937394e-12,-1.9680237888073704e-10,0.6322073218925027,1.6000000000000258,-2.8817354331299632e-12,2.4365367923134293,0.7999999999999885,-6.647570032759224e-13,-0.0031962575512502066
0.016,pd_gc,3.4382801043871134e-12,22.74721268116738,4.258768467677993e-10,1.583503059083643e-12,-1.5233285074234387e-10,2.1247040935427138e-09,-0.700000000000004,-3.370559598085368e-12,-6.188191757406655,2.7415585697340934e-12,-2.38808038484486e-10,-0.5866908401141103,-2.1999999999999957,-5.826496515348223e-13,21.736176148071838,1.340723716852471e-12,-1.6457478604246158e-10,0.6322073216884158,1.600000000000021,-2.448204499339195e-12,2.4365367923113044,0.7999999999999885,-1.974109304395803e-15,-0.0031962575588695397
0.018000000000000002,pd_gc,2.8536297091234726e-12,22.74721268116208,2.4776989487204003e-10,1.3109908639134295e-12,-1.3625609758510666e-10,2.0059796656661225e-09,-0.7000000000000081,-2.0524906111287145e-12,-6.188191757428984,2.2972169938600977e-12,-2.2217078793699777e-10,-0.5866908400705282,-2.199999999999996,-3.201503015728854e-13,21.736176148067546,1.0708954858213588e-12,-1.3491411551555614e-10,0.6322073214766565,1.600000000000017,-2.025249242507032e-12,2.436536792308846,0.7999999999999893,3.803147714238956e-13,-0.003196257564346657
