t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,computed_torque,2.985242003523109e-10,22.747211483223083,0.0,1.2660887058832732e-10,6.330443529416366e-08,7.288857076245492e-05,-0.6999999999952724,2.3637861532797548e-09,-6.188191091497088,1.4140623254847115e-10,7.070311627423558e-08,-0.5866008553535543,-2.199999999999737,1.3174991380024206e-10,21.73617644211187,2.3032320476455146e-10,1.1516160238227573e-07,0.6322421312527694,1.6000000000032102,1.6050347415119385e-09,2.436537308880347,0.8000000000031092,1.5545649736244344e-09,-0.003196257500585149
0.002,computed_torque,4.3375597133471697e-10,22.747212751688682,0.00012436346017850874,1.9393690194281472e-10,3.366401567724369e-08,-2.0356835796724926e-06,-0.6999999999936781,7.971379398602558e-10,-6.188191771842698,2.4958303792871785e-10,5.408840269012335e-08,-0.5866936021016187,-2.199999999998761,4.877268842639608e-10,21.736176159892622,2.969431471994971e-10,3.330997121747281e-08,0.6322067780417483,1.6000000000040422,4.160525014780272e-10,2.436536784590238,0.8000000000028207,-1.4424643651589112e-10,-0.0031962458877022176
0.004,computed_torque,5.12592319549252e-10,22.74721271143983,1.9508979049060752e-06,2.337976251285675e-10,1.993036159287641e-08,-8.454748235862992e-07,-0.6999999999935282,7.493196103034228e-11,-6.188191745007222,3.256256436565326e-10,3.8021302863907376e-08,-0.5866921115051665,-2.1999999999983735,1.9373910392171872e-10,21.736176153199494,3.193566749711032e-10,1.1206763885803058e-08,0.6322071863500048,1.600000000004449,2.0340732051543718e-10,2.436536789667372,0.8000000000021188,-3.5091659691223286e-10,-0.0031962505372968167
0.006,computed_torque,5.634907475088164e-10,22.747212694021496,8.456090254379732e-07,2.588961137040894e-10,1.2549244287760924e-08,-3.475318333657211e-07,-0.6999999999939125,-1.9211546430758982e-10,-6.188191737848374,3.7737202808869394e-10,2.5873192216080657e-08,-0.5866914439654874,-2.199999999998329,2.2162100234989735e-11,21.73617615051098,3.2866520384053127e-10,4.654264434714019e-09,0.6322073327346429,1.6000000000046828,1.1687426462891598e-10,2.436536791968593,0.8000000000015439,-2.8741781973763975e-10,-0.003196252975355745
0.008,computed_torque,5.977784331171179e-10,22.74721268627036,3.551872583526915e-07,2.753900814777416e-10,8.246983886826097e-09,-1.486768520658959e-07,-0.6999999999944173,-2.524032981333469e-10,-6.188191738339459,4.12338709658185e-10,1.7483340784745547e-08,-0.5866911521545526,-2.1999999999983886,-2.9732691137395126e-11,21.736176148945738,3.3379313045471744e-10,2.5639633070930764e-09,0.63220737088846,1.6000000000048187,6.794021957592121e-11,2.4365367926842754,0.8000000000011449,-1.995060239648399e-10,-0.0031962544403137906
0.01,computed_torque,6.207147562637054e-10,22.747212683683273,7.816255956444278e-08,2.862570347237102e-10,5.433476622984302e-09,-1.1996128185781783e-07,-0.6999999999948957,-2.3921189510004647e-10,-6.188191741652207,4.3573806626046283e-10,1.16996783011389e-08,-0.5866910830723019,-2.1999999999984463,-2.8854246665508638e-11,21.736176147837437,3.367831323926266e-10,1.4950009689545662e-09,0.632207348542652,1.6000000000048937,3.7485365914940305e-11,2.436536792436174,0.8000000000008732,-1.3584291277975728e-10,-0.0031962553595867066
0.012,computed_torque,6.361194859481659e-10,22.747212681692105,1.1613554342452044e-07,2.9348259288331226e-10,3.6127790798010433e-09,-5.9049855916014714e-08,-0.6999999999952965,-2.004013083504964e-10,-6.188191744526995,4.51366894898516e-10,7.814414319026585e-09,-0.5866909843528053,-2.1999999999984756,-1.456116201715306e-11,21.7361761474474,3.3872493500832796e-10,9.70901307850696e-10,0.6322073533290322,1.6000000000049384,2.2351820687241928e-11,2.436536792552999,0.8000000000006924,-9.043775274709969e-11,-0.0031962559792722603
0.014,computed_torque,6.464024150283112e-10,22.747212680892467,5.8039469579824594e-08,2.98275615723344e-10,2.396511420015871e-09,-3.094601240107816e-08,-0.6999999999956148,-1.5914735129553885e-10,-6.1881917471580286,4.6176240121978204e-10,5.197753160633034e-09,-0.5866909337102939,-2.1999999999984774,-7.910285831563188e-13,21.736176147305855,3.3999511468172356e-10,6.350898366978121e-10,0.6322073506870821,1.600000000004967,1.436489520569647e-11,2.436536792547335,0.8000000000005721,-6.013458751955786e-11,-0.003196256388838679
0.016,computed_torque,6.53260165140494e-10,22.747212680514973,4.3723876592705166e-08,3.014577809075051e-10,1.5910825920805594e-09,-9.056812680979565e-09,-0.6999999999958596,-1.223793270811558e-10,-6.18819174923678,4.686600716356126e-10,3.448835207915238e-09,-0.5866908959197324,-2.1999999999984605,8.404525827442134e-12,21.736176147346203,3.40859435925923e-10,4.321606220997054e-10,0.6322073503489174,1.6000000000049877,1.0293558422391188e-11,2.436536792570568,0.800000000000493,-3.9593549982985454e-11,-0.0031962566646178037
0.018000000000000002,computed_torque,6.578076869947048e-10,22.747212680569895,1.557419523809988e-08,3.035606296494485e-10,1.0514243709716976e-09,-3.742803820902415e-09,-0.6999999999960445,-9.24113626641858e-11,-6.188191750932215,4.732138309449731e-10,2.2768796546802243e-09,-0.5866908821440249,-2.199999999998434,1.3260139393257364e-11,21.736176147432943,3.4144873730924807e-10,2.946506916625541e-10,0.6322073456982226,1.6000000000050034,7.829605533413011e-12,2.436536792527029,0.8000000000004411,-2.593697177310812e-11,-0.003196256848646818
0.02,computed_torque,6.60782014649982e-10,22.747212680787246,6.629599110077898e-09,3.0493160925018154e-10,6.8548980036653e-10,-4.690670705311713e-09,-0.6999999999961826,-6.906748555245957e-11,-6.188191752251054,4.761873380880496e-10,1.4867535715382526e-09,-0.5866908784750371,-2.199999999998404,1.492400109928539e-11,21.736176147543606,3.418373362495734e-10,1.9429947016268074e-10,0.6322073404235992,1.6000000000050154,6.047080853488905e-12,2.4365367924713563,0.8000000000004073,-1.6917142166197435e-11,-0.003196256972446966
0.022,computed_torque,6.626960533683592e-10,22.74721268104224,5.4618410001816176e-09,3.058103752599749e-10,4.3938300489668636e-10,-7.467553053959765e-09,-0.6999999999962848,-5.1131325375553134e-11,-6.188191753251473,4.780977216914527e-10,9.551918017015887e-10,-0.5866908786400504,-2.199999999998375,1.460180649646913e-11,21.736176147660125,3.420918005237278e-10,1.2723213707720368e-10,0.6322073358334399,1.600000000005025,4.720107707937998e-12,2.4365367924228223,0.8000000000003856,-1.0833593715613223e-11,-0.0031962570565261163
