t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.0,pd_only,0.34835187547968927,23.749947368362736,3.618375894538981e-05,-0.7000303108381933,1.0494456479070783e-05,-2.200075575761522,1.4789279019121154e-05,1.5999794031114205,0.8000129514532157,0.018091879472694906,-0.015155419096675508,0.005247228239535392,-0.03778788076097404,0.007394639509560577,-0.010298444289776902,0.006475726607817755,16.0,-12.000000000000002,10.5,-6.000000000000005,3.0,-2.500000000000002,1.5999999999999992
0.002,pd_only,0.3482455659488465,23.33323500116316,8.618443268219162e-05,-0.7000690104663019,3.519626466566318e-05,-2.200186025069306,3.4022138506671925e-05,1.5999459603657866,0.8000282846769661,0.025000336868400905,-0.019349814054268055,0.012350904093296197,-0.05522465389205747,0.009616429743775384,-0.016721372816977956,0.00766661187518957,15.743818986666641,-11.785399265591074,10.43629864917204,-5.617586646698955,2.9551884845720635,-2.447992856336628,1.5738380645044148
0.004,pd_only,0.3481228404645373,23.146460330651767,0.00014305055080354053,-0.700108157875793,7.120752380791563e-05,-2.200313813057318,5.483448451334856e-05,1.5999058209529855,0.8000440144590644,0.028433059060674462,-0.019573704745549807,0.018005629571126232,-0.06389399400584744,0.010406173003338317,-0.02006970640053707,0.007864891049144533,15.643100529227812,-11.723581765936096,10.34932541235385,-5.436591956921072,2.9412807573821476,-2.415042145059776,1.5687678589599203
0.006,pd_only,0.34799137855563744,23.051667384770273,0.00020397364329935186,-0.7001452488992655,0.00011526701489216669,-2.2004509198653794,7.638773466819597e-05,1.599862307678929,0.8000597745006757,0.030461546247905667,-0.01854551173630131,0.022029745542125532,-0.06855340403067411,0.010776625077423706,-0.02175663702830734,0.007880020805661456,15.590493129086274,-11.717315503498865,10.27894791847993,-5.342231276502469,2.93591792744457,-2.397296991821952,1.5676601466221347
0.008,pd_only,0.3478549967765484,22.998067979173484,0.00026749363190656846,-0.7001798262041297,0.00016485363366166908,-2.200593432739877,9.837860677101032e-05,1.599817055872064,0.8000755049745014,0.0317599943036083,-0.017288652432038774,0.024793309384751192,-0.07125643724863091,0.010995436051407174,-0.022625903432473136,0.007865236912869942,15.557220461065373,-11.728742923750536,10.22757436245204,-5.287410767770508,2.933048617495412,-2.387774506831686,1.5672844267638408
0.01,pd_only,0.34771572828626046,22.964636761099953,0.0003327255063072244,-0.7002121331630156,0.00021818644096185223,-2.200739299648556,0.00012065602540246045,1.5997708608759376,0.8000912032232033,0.03261593720032799,-0.016153479442939024,0.02666640365009157,-0.07293345433970774,0.01113870931572507,-0.02309749806312392,0.007849124350902006,15.53396058919696,-11.743572769621082,10.19094053302667,-5.251829663121097,2.9310760254884274,-2.3822968796392323,1.567028952858492
0.012,pd_only,0.3475747211743267,22.94179021383737,0.00039909520684452493,-0.7002425925119874,0.0002740439316360856,-2.2008873592514133,0.00014312523634947612,1.599724120919421,0.800106875764086,0.03318485026865025,-0.01522967448592219,0.027928745337116707,-0.07402980142864583,0.01123460547350783,-0.02336997825825972,0.007836270441372676,15.516758838690832,-11.756880634757607,10.164730105331572,-5.226307477689567,2.929548063343576,-2.3787840315828195,1.5667794381323268
0.014,pd_only,0.34743265452060795,22.924802611473694,0.0004662209356143143,-0.700271617715553,0.00033159734312859947,-2.201036905358547,0.0001657215888968828,1.599677046605723,0.8001225291009673,0.03356286438489469,-0.014512601782839887,0.028776705746256924,-0.07477305356678425,0.011298176273703345,-0.023537156848990753,0.007826668440618901,15.503484479691336,-11.767377156238096,10.145671980740074,-5.206460430628758,2.928298610068469,-2.376253131694228,1.566517402952789
0.016,pd_only,0.3472899441962826,22.911188467148424,0.0005338466741447006,-0.7002995559294906,0.000390286828717562,-2.2011874820498867,0.000188400497514157,1.599629757183905,0.8001381682420675,0.03381286926519313,-0.013969106968752467,0.029344742794481266,-0.0752883456698752,0.011339454308637097,-0.023644710908941085,0.007819570550142005,15.492822223762328,-11.775094157795998,10.131467717025915,-5.190055142819353,2.9272392946908736,-2.374240380898123,1.5662427442181792
0.018000000000000002,pd_only,0.3471468512057486,22.89957059108968,0.0006018003647369231,-0.7003266804698237,0.0004497349431397138,-2.2013387815128556,0.00021113155172161981,1.5995823250185472,0.800153796766114,0.033976845296111245,-0.013562270166590262,0.02972405721107591,-0.07564973148453431,0.011365527103731407,-0.023716082678919264,0.007814262023239954,15.483912096355722,-11.78046802807822,10.120543008455996,-5.175867620308063,2.926311259222753,-2.3725203750529222,1.5659583529580818
